id,Outlying_polar,Skewed_polar,Clumpy_polar,Sparse_polar,Striated_polar,Convex_polar,Skinny_polar,Stringy_polar,Monotonic_polar,Outlying_contour,Skewed_contour,Clumpy_contour,Sparse_contour,Striated_contour,Convex_contour,Skinny_contour,Stringy_contour,Monotonic_contour,No_of_max_ponits,No_of_min_points,diameter,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,compactness,NF,Perimeter_ratio_diameter,Perimeter_ratio_length,Perimeter_ratio_lw,No_of_Convex_points,perimeter_convexity,area_convexity,area_ratio_convexity,equivalent_diameter,cx,cy,eccentriciry,contrast,correlation_texture,inverse_difference_moments,entropy,Mean_R_val,Mean_G_val,Mean_B_val,Std_R_val,Std_G_val,Std_B_val,correlation,Shape_label
1,0,0.526379567,0.024261102,0.014109867,0.809322034,0.006016397,0.823388288,0.987234198,0.116426124,0,0.515482414,0.034000485,0.014267328,0.765217391,0.006527403,0.829472522,0.960703276,0.00038365,10,9,1022.33116,450465.5,3380.338429,724,1021,1.410220994,0.609392671,0.495394332,25.36639963,1.00130378,3.30650044,3.31081139,1.937156693,35,0.788473233,0.102314162,0.907182394,757.3311615,833.0515469,645.6018158,0.677860355,1.857748828,0.999550689,0.631032429,8.780354124,135.9541133,143.9112719,139.0132014,57.88183228,39.98891285,43.44687546,0.018673495,Diamond
2,0,0.513620206,0.097953096,0.01451106,0.917073171,0.001895045,0.727735484,1,0.171996691,0,0.492087738,0.013653603,0.014528162,0.925,0.000729345,0.794092298,1,0.00308011,3,3,1100.001818,496974.5,3309.77999,698,1091,1.563037249,0.652610313,0.570093012,22.04266735,1.008250979,3.008885927,3.033712182,1.850072661,45,0.86318891,0.068130256,0.936215405,795.4668982,745.3395484,628.2192736,0.755528218,2.147545354,0.99958875,0.63686045,8.796818476,145.4438516,156.8482279,152.7919097,65.38765422,44.72848997,49.35898174,0.05556682,Diamond
3,0,0.54082078,0.008278822,0.014329796,0.9,0.002079435,0.832250131,1,0.311901781,0,0.534253255,0.018303706,0.014572397,0.843049327,0.00105515,0.878706204,1,0.000373238,2,2,1084.219996,474264,3285.762747,682,1060,1.554252199,0.656039396,0.55202357,22.76419215,1.022849053,3.030531404,3.099776176,1.886201347,40,0.848738828,0.075666717,0.929655984,777.0789403,857.7788581,609.5108116,0.750912858,1.567351193,0.999630492,0.659666745,8.945686507,137.2473676,146.9733135,143.9215259,57.84170937,40.5047189,45.94297549,-0.018887184,Diamond
4,0,0.483889751,0.007399986,0.014248687,0.915492958,0.003057124,0.641998041,0.971699816,0.014528585,0,0.492041169,0.017414601,0.0142313,0.920792079,0.002576434,0.595422999,0.970151254,0.049811788,3,4,1058.610882,563296,3406.507912,917,920,1.003271538,0.667697122,0.60999704,20.60070754,1.150664002,3.217903735,3.702725991,1.854386452,35,0.885983793,0.104090922,0.905722509,846.8829568,836.0147223,629.6121708,0.460043437,1.493871258,0.999676529,0.64772537,8.969836211,125.0989748,136.9512516,133.3523907,61.00374921,42.26210683,46.84195036,0.222557668,Diamond
5,0,0.493493788,0.008413181,0.014514177,0.967567568,0.000787104,0.624974528,1,0.052290436,0,0.490975552,0.013498249,0.014255743,0.945273632,0.001516937,0.619160025,0.985000252,0.067928303,2,3,1074.313269,552685,3530.899828,1018,891,0.87524558,0.609329488,0.55707895,22.55761165,1.205738798,3.28665756,3.962850536,1.849607034,45,0.8578365,0.161892398,0.860664896,838.8685223,891.2553596,702.4759395,0.455325859,1.584589497,0.999656813,0.64023843,8.835804598,121.4937138,130.194707,125.8261294,60.68264574,42.31929404,46.52905251,0.259867568,Diamond
6,0,0.503018258,0.015840688,0.014440608,0.959183673,0.000948345,0.500266799,0.984615656,0.110442289,0,0.497618256,0.01267255,0.014250705,0.950980392,0.001461106,0.443778602,0.970445291,0.080242225,2,3,1007.786188,392714.5,3000.77494,648,994,1.533950617,0.60969909,0.54804971,22.92925328,1.013869404,2.977590859,3.018888269,1.827512144,45,0.860568935,0.095449748,0.912867068,707.1206624,743.0743673,662.9105488,0.774800386,1.696668198,0.999532673,0.635528976,8.524454884,135.2804352,144.6075445,141.1570346,54.65967325,37.23640367,41.02978193,0.282484961,Diamond
7,0,0.487258773,0.004544551,0.014254845,0.9408867,0.002887335,0.556953619,0.970299,0.263509505,0,0.479998314,0.0116198,0.014254845,0.929648241,0.001753685,0.552656527,0.969699062,0.09107109,2,3,1054.131396,522120,3323.149611,730,1053,1.442465753,0.679233501,0.594128527,21.15092955,1.00107445,3.152500365,3.15588757,1.863796753,55,0.855312476,0.075921244,0.929436058,815.3427691,712.2060975,622.0698928,0.75221435,1.63936602,0.999538651,0.635151813,8.882300315,132.7287308,143.3649602,138.5941752,56.09879682,36.10030045,39.85413261,0.301537831,Diamond
8,0,0.509924445,0.005828011,0.014447185,0.916256158,0.004174843,0.584401399,0.970299,0.356377666,0,0.506076687,0.012732846,0.014515656,0.945812808,0.001503058,0.413958266,0.970299,0.098622874,2,3,1065.217818,562138.5,3505.544489,800,1035,1.29375,0.678911232,0.574833709,21.86087978,1.02919596,3.290917998,3.386999507,1.910378468,37,0.850761323,0.100418313,0.908745327,846.0123922,845.0561827,639.3820259,0.600820189,2.043225433,0.999618023,0.630203744,9.090381089,135.85265,147.1432839,142.6722925,64.03215208,45.96382316,51.75003586,0.314143347,Diamond
9,0,0.52168915,0.029154451,0.01451629,0.908629442,0.006094496,0.64512471,0.984694145,0.465412079,0,0.500038204,0.007612218,0.014257819,0.957943925,0.001001889,0.551852552,0.985915701,0.077740166,2,2,1081.0037,562826,3385.041968,741,1043,1.407557355,0.728235146,0.617242613,20.35888378,1.036436913,3.131387956,3.245486067,1.897445049,44,0.882878112,0.080611948,0.925401577,846.5295742,778.405357,618.2674475,0.652555825,1.441315753,0.999718905,0.656127994,8.925943098,132.6352343,144.9653457,142.3489874,62.25508102,45.09875229,50.71809006,0.280310787,Diamond
10,0,0.462133401,0.007559777,0.014639931,0.979591837,0.000226284,0.491312985,1,0.166728092,0,0.515512703,0.01227586,0.014486985,0.979487179,0.000646356,0.370568858,1,0.001499682,3,3,1280.89539,533106.5,3367.142469,1274,656,0.514913658,0.637882533,0.590882131,21.26713594,1.952584436,2.628741188,5.13283913,1.744633404,48,0.911458137,0.063366325,0.940409693,823.8763726,738.7735205,556.6157088,0.865295313,1.549240008,0.999643801,0.640609369,8.770547206,125.8326531,134.076519,128.7063508,59.99337913,40.88650136,43.76236404,0.039473194,Diamond
